gene 33256492 33300719 gene_id "ENSG00000160094";
transcript 33256492 33300719 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33256492 33256654 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33270487 33270612 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33276100 33276163 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33276348 33276594 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33280124 33280457 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33281587 33281811 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33294937 33295015 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33295147 33295305 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
exon 33298930 33300719 gene_id "ENSG00000160094"; transcript_id "ENST00000539719";
transcript 33256545 33280414 gene_id "ENSG00000160094"; transcript_id "ENST00000483388";
exon 33256545 33256654 gene_id "ENSG00000160094"; transcript_id "ENST00000483388";
exon 33276100 33276163 gene_id "ENSG00000160094"; transcript_id "ENST00000483388";
exon 33276348 33276594 gene_id "ENSG00000160094"; transcript_id "ENST00000483388";
exon 33280124 33280414 gene_id "ENSG00000160094"; transcript_id "ENST00000483388";
transcript 33256619 33275248 gene_id "ENSG00000160094"; transcript_id "ENST00000490959";
exon 33256619 33256654 gene_id "ENSG00000160094"; transcript_id "ENST00000490959";
exon 33270487 33270612 gene_id "ENSG00000160094"; transcript_id "ENST00000490959";
exon 33275214 33275248 gene_id "ENSG00000160094"; transcript_id "ENST00000490959";
transcript 33270575 33300719 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33270575 33270612 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33276100 33276163 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33276348 33276594 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33280124 33280457 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33281587 33281811 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33294937 33295015 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33295147 33295305 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
exon 33298930 33300719 gene_id "ENSG00000160094"; transcript_id "ENST00000373428";
transcript 33280350 33281973 gene_id "ENSG00000160094"; transcript_id "ENST00000477934";
exon 33280350 33280457 gene_id "ENSG00000160094"; transcript_id "ENST00000477934";
exon 33281587 33281973 gene_id "ENSG00000160094"; transcript_id "ENST00000477934";
