gene 102396332 102470384 gene_id "ENSG00000152558";
transcript 102396332 102452765 gene_id "ENSG00000152558"; transcript_id "ENST00000398136";
exon 102396332 102398891 gene_id "ENSG00000152558"; transcript_id "ENST00000398136";
exon 102401539 102401692 gene_id "ENSG00000152558"; transcript_id "ENST00000398136";
exon 102401916 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000398136";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000398136";
exon 102452524 102452765 gene_id "ENSG00000152558"; transcript_id "ENST00000398136";
transcript 102396332 102452839 gene_id "ENSG00000152558"; transcript_id "ENST00000361236";
exon 102396332 102398891 gene_id "ENSG00000152558"; transcript_id "ENST00000361236";
exon 102401539 102401692 gene_id "ENSG00000152558"; transcript_id "ENST00000361236";
exon 102401916 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000361236";
exon 102452524 102452839 gene_id "ENSG00000152558"; transcript_id "ENST00000361236";
transcript 102398824 102452366 gene_id "ENSG00000152558"; transcript_id "ENST00000532161";
exon 102398824 102398891 gene_id "ENSG00000152558"; transcript_id "ENST00000532161";
exon 102401539 102401692 gene_id "ENSG00000152558"; transcript_id "ENST00000532161";
exon 102401916 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000532161";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000532161";
exon 102452194 102452366 gene_id "ENSG00000152558"; transcript_id "ENST00000532161";
transcript 102398856 102451231 gene_id "ENSG00000152558"; transcript_id "ENST00000528969";
exon 102398856 102398891 gene_id "ENSG00000152558"; transcript_id "ENST00000528969";
exon 102401539 102401692 gene_id "ENSG00000152558"; transcript_id "ENST00000528969";
exon 102401916 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000528969";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000528969";
exon 102451202 102451231 gene_id "ENSG00000152558"; transcript_id "ENST00000528969";
transcript 102401744 102452552 gene_id "ENSG00000152558"; transcript_id "ENST00000529492";
exon 102401744 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000529492";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000529492";
exon 102452524 102452552 gene_id "ENSG00000152558"; transcript_id "ENST00000529492";
transcript 102401925 102470384 gene_id "ENSG00000152558"; transcript_id "ENST00000525577";
exon 102401925 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000525577";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000525577";
exon 102470174 102470384 gene_id "ENSG00000152558"; transcript_id "ENST00000525577";
transcript 102402034 102449452 gene_id "ENSG00000152558"; transcript_id "ENST00000531103";
exon 102402034 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000531103";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000531103";
exon 102449115 102449452 gene_id "ENSG00000152558"; transcript_id "ENST00000531103";
transcript 102402099 102452355 gene_id "ENSG00000152558"; transcript_id "ENST00000526676";
exon 102402099 102402206 gene_id "ENSG00000152558"; transcript_id "ENST00000526676";
exon 102448236 102448375 gene_id "ENSG00000152558"; transcript_id "ENST00000526676";
exon 102448812 102448868 gene_id "ENSG00000152558"; transcript_id "ENST00000526676";
exon 102452194 102452355 gene_id "ENSG00000152558"; transcript_id "ENST00000526676";










