gene 90256527 90275429 gene_id "ENSG00000100764";
transcript 90256553 90275429 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90256553 90256600 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90259160 90259213 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90260115 90260211 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90263318 90263442 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90263662 90263847 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90264041 90264169 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90265070 90265166 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90268224 90268413 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90269397 90269548 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90270198 90270352 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
exon 90272273 90275429 gene_id "ENSG00000100764"; transcript_id "ENST00000261303";
transcript 90256527 90268274 gene_id "ENSG00000100764"; transcript_id "ENST00000553835";
exon 90256527 90256592 gene_id "ENSG00000100764"; transcript_id "ENST00000553835";
exon 90263801 90263847 gene_id "ENSG00000100764"; transcript_id "ENST00000553835";
exon 90264041 90264169 gene_id "ENSG00000100764"; transcript_id "ENST00000553835";
exon 90265070 90265166 gene_id "ENSG00000100764"; transcript_id "ENST00000553835";
exon 90268224 90268274 gene_id "ENSG00000100764"; transcript_id "ENST00000553835";
transcript 90256528 90263670 gene_id "ENSG00000100764"; transcript_id "ENST00000554624";
exon 90256528 90256600 gene_id "ENSG00000100764"; transcript_id "ENST00000554624";
exon 90259160 90259213 gene_id "ENSG00000100764"; transcript_id "ENST00000554624";
exon 90260115 90260211 gene_id "ENSG00000100764"; transcript_id "ENST00000554624";
exon 90263318 90263670 gene_id "ENSG00000100764"; transcript_id "ENST00000554624";
transcript 90256554 90263927 gene_id "ENSG00000100764"; transcript_id "ENST00000557357";
exon 90256554 90256600 gene_id "ENSG00000100764"; transcript_id "ENST00000557357";
exon 90259160 90259213 gene_id "ENSG00000100764"; transcript_id "ENST00000557357";
exon 90260115 90260211 gene_id "ENSG00000100764"; transcript_id "ENST00000557357";
exon 90263318 90263442 gene_id "ENSG00000100764"; transcript_id "ENST00000557357";
exon 90263670 90263927 gene_id "ENSG00000100764"; transcript_id "ENST00000557357";
transcript 90256554 90263944 gene_id "ENSG00000100764"; transcript_id "ENST00000555679";
exon 90256554 90256600 gene_id "ENSG00000100764"; transcript_id "ENST00000555679";
exon 90259160 90259213 gene_id "ENSG00000100764"; transcript_id "ENST00000555679";
exon 90260115 90260211 gene_id "ENSG00000100764"; transcript_id "ENST00000555679";
exon 90263318 90263442 gene_id "ENSG00000100764"; transcript_id "ENST00000555679";
exon 90263662 90263944 gene_id "ENSG00000100764"; transcript_id "ENST00000555679";
transcript 90256578 90272550 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90256578 90256600 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90259160 90259213 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90263318 90263442 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90263662 90263847 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90264041 90264169 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90265070 90265166 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90268224 90268413 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90269397 90269548 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90270198 90270352 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
exon 90272273 90272550 gene_id "ENSG00000100764"; transcript_id "ENST00000543772";
transcript 90267476 90272624 gene_id "ENSG00000100764"; transcript_id "ENST00000555787";
exon 90267476 90268413 gene_id "ENSG00000100764"; transcript_id "ENST00000555787";
exon 90269397 90270352 gene_id "ENSG00000100764"; transcript_id "ENST00000555787";
exon 90272273 90272624 gene_id "ENSG00000100764"; transcript_id "ENST00000555787";




