gene 53267398 53349179 gene_id "ENSG00000012660";
transcript 53267404 53348950 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53267404 53269270 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53270593 53270727 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53273220 53273344 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53275090 53275261 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53276179 53276256 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53291776 53291963 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
exon 53348817 53348950 gene_id "ENSG00000012660"; transcript_id "ENST00000304434";
transcript 53275125 53348973 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
exon 53275125 53275261 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
exon 53276179 53276256 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
exon 53290401 53290535 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
exon 53291776 53291963 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
exon 53348817 53348973 gene_id "ENSG00000012660"; transcript_id "ENST00000485336";
transcript 53276179 53348950 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
exon 53276179 53276256 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
exon 53290095 53290189 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
exon 53290401 53290535 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
exon 53291776 53291963 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
exon 53348817 53348950 gene_id "ENSG00000012660"; transcript_id "ENST00000465983";
transcript 53276179 53348950 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53276179 53276256 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53277646 53277743 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53290095 53290189 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53290401 53290535 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53291776 53291963 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
exon 53348817 53348950 gene_id "ENSG00000012660"; transcript_id "ENST00000486973";
transcript 53294088 53348926 gene_id "ENSG00000012660"; transcript_id "ENST00000370913";
exon 53294088 53294491 gene_id "ENSG00000012660"; transcript_id "ENST00000370913";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000370913";
exon 53348817 53348926 gene_id "ENSG00000012660"; transcript_id "ENST00000370913";
transcript 53267398 53349179 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53267398 53269270 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53270593 53270727 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53273220 53273344 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53275090 53275261 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53276179 53276256 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53287862 53287942 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53291776 53291963 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
exon 53348817 53349179 gene_id "ENSG00000012660"; transcript_id "ENST00000370918";
transcript 53267398 53349179 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53267398 53269270 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53270593 53270727 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53275090 53275261 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53276179 53276256 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53291776 53291963 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53295642 53295707 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
exon 53348817 53349179 gene_id "ENSG00000012660"; transcript_id "ENST00000542638";
