gene 97904489 97922500 gene_id "ENSG00000136932";
transcript 97904489 97922500 gene_id "ENSG00000136932"; transcript_id "ENST00000375119";
exon 97904489 97904992 gene_id "ENSG00000136932"; transcript_id "ENST00000375119";
exon 97909960 97910616 gene_id "ENSG00000136932"; transcript_id "ENST00000375119";
exon 97913401 97913558 gene_id "ENSG00000136932"; transcript_id "ENST00000375119";
exon 97916164 97916338 gene_id "ENSG00000136932"; transcript_id "ENST00000375119";
exon 97922418 97922500 gene_id "ENSG00000136932"; transcript_id "ENST00000375119";
transcript 97904534 97912471 gene_id "ENSG00000136932"; transcript_id "ENST00000375118";
exon 97904534 97904992 gene_id "ENSG00000136932"; transcript_id "ENST00000375118";
exon 97909960 97912471 gene_id "ENSG00000136932"; transcript_id "ENST00000375118";
transcript 97909989 97922472 gene_id "ENSG00000136932"; transcript_id "ENST00000478126";
exon 97909989 97910616 gene_id "ENSG00000136932"; transcript_id "ENST00000478126";
exon 97913401 97913558 gene_id "ENSG00000136932"; transcript_id "ENST00000478126";
exon 97922418 97922472 gene_id "ENSG00000136932"; transcript_id "ENST00000478126";
transcript 97910283 97922490 gene_id "ENSG00000136932"; transcript_id "ENST00000375117";
exon 97910283 97910616 gene_id "ENSG00000136932"; transcript_id "ENST00000375117";
exon 97912873 97912975 gene_id "ENSG00000136932"; transcript_id "ENST00000375117";
exon 97913401 97913558 gene_id "ENSG00000136932"; transcript_id "ENST00000375117";
exon 97916164 97916338 gene_id "ENSG00000136932"; transcript_id "ENST00000375117";
exon 97922418 97922490 gene_id "ENSG00000136932"; transcript_id "ENST00000375117";
transcript 97910503 97922468 gene_id "ENSG00000136932"; transcript_id "ENST00000471580";
exon 97910503 97910616 gene_id "ENSG00000136932"; transcript_id "ENST00000471580";
exon 97912873 97912975 gene_id "ENSG00000136932"; transcript_id "ENST00000471580";
exon 97913401 97913558 gene_id "ENSG00000136932"; transcript_id "ENST00000471580";
exon 97922418 97922468 gene_id "ENSG00000136932"; transcript_id "ENST00000471580";
transcript 97913252 97922487 gene_id "ENSG00000136932"; transcript_id "ENST00000455506";
exon 97913252 97913558 gene_id "ENSG00000136932"; transcript_id "ENST00000455506";
exon 97916164 97916338 gene_id "ENSG00000136932"; transcript_id "ENST00000455506";
exon 97922418 97922487 gene_id "ENSG00000136932"; transcript_id "ENST00000455506";
