gene 45388680 45612165 gene_id "ENSG00000068784";
transcript 45388680 45611267 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45388680 45389599 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45392945 45393129 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45413114 45413293 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45418365 45418541 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45419788 45419894 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45476993 45477075 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45488240 45488331 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45546732 45546839 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45547522 45547612 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45551125 45551282 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45553623 45553730 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45562653 45562756 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45573207 45573342 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45574627 45574723 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45579875 45580013 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45581693 45581810 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45585608 45585774 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45599449 45599835 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45601903 45602083 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45605362 45605441 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
exon 45611219 45611267 gene_id "ENSG00000068784"; transcript_id "ENST00000263736";
transcript 45388776 45448095 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
exon 45388776 45389599 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
exon 45392945 45393129 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
exon 45413114 45413293 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
exon 45418365 45418541 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
exon 45419788 45419894 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
exon 45447150 45448095 gene_id "ENSG00000068784"; transcript_id "ENST00000490133";
transcript 45418455 45549072 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
exon 45418455 45418541 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
exon 45419788 45419894 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
exon 45488240 45488331 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
exon 45546732 45546839 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
exon 45547522 45547612 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
exon 45548991 45549072 gene_id "ENSG00000068784"; transcript_id "ENST00000475073";
transcript 45546732 45568021 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
exon 45546732 45546839 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
exon 45547522 45547612 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
exon 45551125 45551282 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
exon 45553623 45553730 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
exon 45562653 45562756 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
exon 45567936 45568021 gene_id "ENSG00000068784"; transcript_id "ENST00000493649";
transcript 45601922 45612165 gene_id "ENSG00000068784"; transcript_id "ENST00000461805";
exon 45601922 45602083 gene_id "ENSG00000068784"; transcript_id "ENST00000461805";
exon 45605362 45605441 gene_id "ENSG00000068784"; transcript_id "ENST00000461805";
exon 45611219 45611435 gene_id "ENSG00000068784"; transcript_id "ENST00000461805";
exon 45612070 45612165 gene_id "ENSG00000068784"; transcript_id "ENST00000461805";
